Kmalloc Time (s),Latency (µs),Bytes
36713.992561,405896.0000038496,4097.0
36714.307588,93646.99999423465,32.0
36713.663696,746800.9999938658,4096.0
36714.410389,117.00000322889537,32.0
36714.283494,130670.99999898346,32.0
36714.283317,130911.00000019651,48.0
36714.283303,130928.00000595162,32.0
36714.281521,138488.00000414485,32.0
36714.381686,40887.00000284007,11.0
36713.663696,760495.999995328,4096.0
36714.424025,175.00000103609636,32.0
36714.28133,145028.99999934016,48.0
36714.001062,425300.9999956703,32.0
36714.243454,188455.9999962221,48.0
36714.243428,188492.00000113342,32.0
36713.992572,446916.9999938458,2048.0
36713.992561,446936.000000278,4097.0
36714.307379,133170.00000097323,48.0
36714.306569,133982.9999997164,32.0
36713.663696,781484.9999995204,4096.0
36714.299563,150759.9999968079,32.0
36714.299249,151129.99999837484,48.0
36714.296351,154031.00000548875,32.0
36713.663696,789154.9999985727,4096.0
36714.45279,65.00000017695129,32.0
36714.075478,377657.9999976093,32.0
36714.275511,178113.00000175834,48.0
36714.072992,380637.00000202516,32.0
36714.462423,62.99999949987978,11.0
36714.105566,372405.0000018906,4096.0
36714.477921,54.00000372901559,32.0
36714.105566,376871.0000003921,4096.0
36714.477921,4521.000002569053,32.0
36714.482899,36.99999797390774,11.0
36714.225458,263101.9999971613,32.0
36714.34665,141972.99999796087,48.0
36714.02805,460574.9999973341,32.0
36714.161182,327923.99999743793,32.0
36714.489279,29.999995604157448,4096.0
36714.489252,59.99999848427251,32.0
36713.663696,826530.9999987949,4096.0
36714.489252,979.0000040084124,32.0
36714.331731,163727.99999953713,48.0
36714.004187,491275.0000003143,32.0
36713.671091,828505.0000049523,4096.0
36714.473581,26029.00000056252,32.0
36714.229355,271056.99999810895,32.0
36714.332484,168023.99999869522,48.0
36714.196391,304119.0000003553,32.0
36714.39029,111409.99999770429,32.0
36714.390033,111841.99999843258,48.0
36714.390009,111872.99999437528,32.0
36713.671091,834276.0000014096,4096.0
36714.390009,115361.9999968214,32.0
36713.671091,835362.0000052615,4096.0
36714.390009,116448.00000067335,32.0
36713.671091,836755.0000039046,4096.0
36714.390009,117839.99999897787,32.0
36713.992572,517874.9999977299,2048.0
36713.992561,517892.000003485,4097.0
36714.432375,78666.0000012489,32.0
36714.513505,59.99999848427251,11.0
36714.16152,353508.00000014715,32.0
36713.998576,518461.99999999953,32.0
36714.353652,163441.00000424078,48.0
36714.07575,441345.9999996121,32.0
36713.671091,848233.0000042566,4096.0
36714.330712,189715.00000043306,48.0
36714.330696,189733.9999995893,32.0
36714.41459,110595.99999862257,32.0
36714.414322,110917.00000542914,48.0
36714.410389,114853.00000640564,32.0
36714.105566,420815.00000495,4096.0
36714.526304,80.99999831756577,32.0
36714.124803,402822.00000365265,32.0
36714.328648,199028.9999957895,48.0
36714.323047,204632.00000085635,32.0
36714.528136,29.000002541579306,4096.0
36714.528101,67.99999391660094,32.0
36714.105566,429148.0000028969,4096.0
36714.53465,68.00000119255856,32.0
36714.450779,84288.99999853456,32.0
36714.538721,22.000000171829015,11.0
36714.432047,112943.00000008661,48.0
36714.432021,112973.9999960293,32.0
36714.105566,447508.00000474555,4096.0
36714.552971,106.99999984353781,32.0
36714.095329,466912.9999965662,32.0
36714.347589,214848.00000325777,48.0
36714.079624,482816.00000336766,32.0
36713.992572,570972.9999944102,2048.0
36713.992561,570991.0000005038,4097.0
36714.450452,115117.00000119163,48.0
36714.450437,115136.00000034785,32.0
36714.528136,38927.00000142213,4096.0
36714.566979,87.0000003487803,32.0
36714.426992,145218.99999817833,32.0
36714.42651,145763.00000044284,48.0
36714.426455,145820.99999825004,32.0
36714.528136,45967.99999853829,4096.0
36714.528136,51354.999995965045,4096.0
36714.57941,86.00000001024455,32.0
36714.424025,157535.99999879953,32.0
36714.398671,183238.99999813875,48.0
36714.395113,186800.00000313157,32.0
36714.391616,205584.99999606283,32.0
36714.391415,205844.00000370806,48.0
36714.391395,205867.00000421843,32.0
36714.105566,497041.00000235485,4096.0
36714.60253,80.00000525498763,32.0
36714.46305,140010.00000280328,32.0
36714.440636,163061.999999627,48.0
36714.440619,163081.99999912176,32.0
36713.992572,618649.9999967054,2048.0
36713.992561,618668.0000027991,4097.0
36714.105566,514754.0000034496,4096.0
36714.105566,515309.00000216207,4096.0
36714.60253,18352.000006416347,32.0
36714.468113,154002.99999600975,32.0
36714.439888,182307.00000276556,48.0
36714.439689,182507.99999805167,32.0
36714.105566,519019.9999997276,4096.0
36714.60253,22060.000002966262,32.0
36714.528136,97676.99999792967,4096.0
36714.57941,46413.00000366755,32.0
36714.500933,125218.9999941038,32.0
36714.500591,126005.99999859696,48.0
36714.473581,153019.00000486057,32.0
36714.463624,179535.99999600556,32.0
36714.463412,179819.00000449969,48.0
36714.463389,179845.00000602566,32.0
36714.528136,118488.00000007031,4096.0
36714.323047,323581.00000419654,32.0
36714.611432,36538.000000291504,48.0
36714.440619,207354.9999986426,32.0
36714.566979,83978.99999545189,32.0
36714.105566,548638.00000021,4096.0
36714.323047,331160.000001546,32.0
36714.105566,551086.9999998249,4096.0
36714.323047,333609.0000011609,32.0
36714.424025,233092.00000221608,32.0
36714.105566,556769.0000025323,4096.0
36714.323047,339291.00000386825,32.0
36714.51802,145858.9999965625,32.0
36713.663696,1002221.9999955269,4096.0
36714.323047,342875.0000020955,32.0
36714.48871,177812.00000172248,48.0
36714.477921,188607.00000368524,32.0
36713.663696,1004909.9999960163,4096.0
36714.299563,369045.99999979837,32.0
36714.450779,219138.00000038464,32.0
36714.523222,147685.99999661092,32.0
36714.522953,148437.0000034687,48.0
36714.522928,148464.9999983958,32.0
36713.663696,1009646.9999989495,4096.0
36714.283303,390043.000006699,32.0
36714.528136,150084.00000078836,4096.0
36714.283303,394921.00000643404,32.0
36714.528136,153255.99999778206,4096.0
36714.283303,398093.00000342773,32.0
36714.520657,163525.99999663653,32.0
36714.519559,168355.0000016112,32.0
36713.671091,1017072.0000023721,4096.0
36714.283303,404864.0000037267,32.0
36714.565672,123063.00000636838,48.0
36714.450437,238300.99999759113,32.0
36714.528101,161892.99999678042,32.0
36714.510762,179638.00000143237,48.0
36714.510619,179783.9999999269,32.0
36714.52774,163505.0000040792,48.0
36714.526304,164944.00000374299,32.0
36714.562915,129116.99999676785,32.0
36714.495562,197992.00000124983,48.0
36714.489252,204304.99999929452,32.0
36714.5205,173843.00000412622,48.0
36714.520486,173859.00000226684,32.0
36713.671091,1024411.0000057844,4096.0
36714.528101,167403.99999980582,32.0
36714.562539,133979.9999987008,48.0
36714.562519,134001.99999887263,32.0
36714.105566,594546.000000264,4096.0
36714.519559,180555.99999934202,32.0
36714.105566,595205.0000050804,4096.0
36714.519559,181214.9999968824,32.0
36714.41459,292287.99999691546,32.0
36714.581991,128886.99999894015,48.0
36714.395113,315768.0000003893,32.0
36714.525306,194325.99999709055,48.0
36714.410389,309246.0000043502,32.0
36714.105566,616232.0000003092,4096.0
36714.520657,201144.9999990873,32.0
36714.517432,207884.9999961676,32.0
36714.517193,208194.99999925029,48.0
36714.432375,293015.00000292435,32.0
36714.105566,620982.0000003674,4096.0
36714.520657,205894.9999991455,32.0
36714.53465,192531.0000005993,32.0
36714.545122,182116.99999665143,48.0
36714.432021,295219.99999997206,32.0
36714.593416,135958.99999927497,32.0
36714.593006,136419.99999526888,48.0
36714.592974,136453.99999950314,32.0
36714.463624,269448.9999994403,32.0
36714.426992,309005.9999958612,32.0
36714.105566,631081.9999998785,4096.0
36714.426992,309658.9999986463,32.0
36714.468113,274957.99999451265,32.0
36714.105566,641572.0000004512,4096.0
36714.426992,320149.9999995576,32.0
36714.643334,108201.00000273669,48.0
36714.463389,288147.99999963725,32.0
36714.391616,365265.0000003632,32.0
36714.572365,186882.00000178767,48.0
36714.426455,332795.0000020792,32.0
36714.105566,657262.0000006282,4096.0
36714.426992,335839.9999997346,32.0
36713.671091,1102475.0000069616,4096.0
36714.463624,309946.9999942812,32.0
36714.597334,177989.00000343565,48.0
36714.391395,383930.0000036019,32.0
36714.622278,154002.99999600975,48.0
36714.439689,336649.00000439957,32.0
36714.60253,175563.00000433112,32.0
36714.41459,368382.0000005653,32.0
36713.671091,1114435.000003141,4096.0
36714.41459,370939.0000003623,32.0
36714.528136,266050.9999986971,4096.0
36714.41459,379601.0000005481,32.0
36714.528136,266899.00000201305,4096.0
36714.41459,380448.9999965881,32.0
36714.500933,295036.9999962277,32.0
36714.528136,269625.0000008149,4096.0
36714.500933,296830.99999965634,32.0
36714.105566,693296.0000049206,4096.0
36714.426992,371879.9999987823,32.0
36714.528101,270968.99999742163,32.0
36714.626663,173826.99999870965,48.0
36714.473581,326911.0000037472,32.0
36714.105566,699870.0000040117,4096.0
36714.426992,378447.00000277953,32.0
36714.306569,499594.0000007977,32.0
36714.635886,172355.0000024261,48.0
36714.57941,228834.00000137044,32.0
36714.307588,503340.9999959986,32.0
36714.690466,123176.00000096718,48.0
36714.283494,530149.9999986845,32.0
36714.562915,253306.99999904027,32.0
36714.528136,302164.00000063004,4096.0
36714.562915,267389.00000054855,32.0
36714.671455,161926.99999373872,48.0
36714.299563,533821.999997599,32.0
36714.105566,728483.9999992982,4096.0
36714.522928,311126.00000051316,32.0
36714.696574,138235.99999886937,48.0
36714.562519,272296.00000282517,32.0
36714.281521,556361.0000026529,32.0
36714.710979,128277.9999964987,48.0
36714.395113,444147.00000197627,32.0
36714.296351,543818.0000055581,32.0
36714.666994,173241.9999971171,48.0
36714.330696,509541.999999783,32.0
36714.105566,737217.0000016922,4096.0
36714.424025,418762.00000115205,32.0
36713.671091,1172031.0000018799,4096.0
36714.424025,419100.99999950035,32.0
36714.694403,149330.00000019092,48.0
36714.520486,323249.00000094203,32.0
36714.450437,394069.0000017639,32.0
36714.688831,155724.9999968917,48.0
36714.283303,561255.0000005285,32.0
36714.611432,236268.00000056392,48.0
36714.323047,524655.0000010757,32.0
36714.519559,330288.99999771966,32.0
36714.510619,342445.00000204425,32.0
36714.691305,161808.99999744724,48.0
36714.526304,326811.99999933597,32.0
36714.105566,760740.0000051712,4096.0
