Kmalloc Time (s),Latency (µs),Bytes
45675.75517,56921.000003058,4096.0
45675.75517,57355.00000446336,4096.0
45675.75517,57619.00000652531,4096.0
45675.75517,57893.00000469666,4096.0
45675.75517,58965.00000380911,4096.0
45675.75517,58992.00000567362,4096.0
45675.75517,59137.0000038296,4096.0
45675.75517,73730.00000370666,4096.0
45675.75517,73776.0000047274,4096.0
45675.75517,73799.00000523776,4096.0
45675.75517,73842.00000524288,4096.0
45675.75517,74382.00000615325,4096.0
45675.75517,74534.00000667898,4096.0
45675.75517,74870.00000401167,4096.0
45675.75517,74906.00000164704,4096.0
45675.75517,75043.0000043707,4096.0
45675.75517,75274.00000253692,4096.0
45675.75517,75396.00000018254,4096.0
45675.75517,75759.0000066557,4096.0
45675.75517,76291.00000485778,4096.0
45675.75517,76337.00000587851,4096.0
45675.75517,76366.00000114413,4096.0
45675.75517,128018.00000306685,4096.0
45675.75517,129246.00000405917,4096.0
45675.754294,142349.00000155903,64.0
45675.75517,141480.00000568572,4096.0
45675.895688,966.9999999459833,152.0
45675.754294,142578.99999938672,64.0
45675.75517,141705.00000182074,4096.0
45675.895688,1190.0000026798807,152.0
45675.747598,176851.9999968703,24.0
45675.745579,179987.9999962286,416.0
45675.925466,118.99999663000926,32.0
45675.747598,178051.99999565957,24.0
45675.745579,180274.99999880092,416.0
45675.925466,393.000002077315,32.0
45675.747598,178267.99999602372,24.0
45675.93804,14.999997802078724,7.0
45675.745579,192485.9999999171,416.0
45675.75517,183491.00000341423,4096.0
45675.925466,13199.000000895467,32.0
45675.75517,184032.00000466313,4096.0
45675.925466,13740.00000214437,32.0
45675.939731,19.999999494757503,4096.0
45675.75517,184624.0000013495,4096.0
45675.925466,14329.999998153653,32.0
45675.745579,194602.9999962775,416.0
45675.925466,14996.999998402316,32.0
45675.940018,2323.0000006151386,49.0
45675.940053,2306.0000021359883,56.0
45675.940073,2289.000003656838,53.0
45675.754294,190868.00000513904,64.0
45675.93804,7165.000002714805,7.0
45675.745579,199632.99999653827,416.0
45675.745579,199785.99999740254,416.0
45675.925466,20000.999997137114,32.0
45675.93804,7907.999999588355,7.0
45675.75432,191632.00000184588,504.0
45675.75432,191705.9999977937,504.0
45675.925466,20636.00000110455,32.0
45675.895688,50717.00000553392,152.0
45675.947551,27.000001864507794,11.0
45675.925466,22428.99999691872,32.0
45675.947551,465.0000046240166,11.0
45675.75517,199463.0000044708,4096.0
45675.75517,203809.00000600377,4096.0
45675.75517,203866.00000347244,4096.0
45675.75517,204386.00000488805,4096.0
45675.75517,204425.00000353903,4096.0
45675.75517,204528.00000202842,4096.0
45675.75517,204582.00000575744,4096.0
45675.75517,204620.00000406988,4096.0
45675.754294,207696.9999980065,64.0
45675.75517,206826.00000145612,4096.0
45675.895688,66312.0000026538,152.0
45675.754294,208145.00000415137,64.0
45675.75517,207271.99999964796,4096.0
45675.895688,66757.0000005071,152.0
45675.754294,208595.00000369735,64.0
45675.75517,207721.00000613136,4096.0
45675.895688,67205.99999971455,152.0
45675.754294,208741.00000219187,64.0
45675.75517,207871.00000598002,4096.0
45675.895688,67370.00000430271,152.0
45675.754294,209064.00000239955,64.0
45675.75517,208192.00000551064,4096.0
45675.895688,67678.00000670832,152.0
45675.754294,209386.0000022687,64.0
45675.75517,208513.00000504125,4096.0
45675.895688,67998.0000059004,152.0
45675.754294,209532.00000076322,64.0
45675.75517,208658.00000319723,4096.0
45675.895688,68143.00000405638,152.0
45675.754294,209587.00000483077,64.0
45675.75517,208711.9999996503,4096.0
45675.895688,68197.00000050943,152.0
45675.754294,209632.99999857554,64.0
45675.75517,208759.00000100955,4096.0
45675.895688,68243.00000153016,152.0
45675.754294,209677.99999925774,64.0
45675.75517,208803.0000013532,4096.0
45675.895688,68289.00000255089,152.0
45675.754294,209737.00000467943,64.0
45675.75517,208862.99999983748,4096.0
45675.895688,68348.00000069663,152.0
45675.754294,209783.99999876274,64.0
45675.75517,208909.0000008582,4096.0
45675.895688,68394.00000171736,152.0
45675.754294,209829.99999978347,64.0
45675.75517,208956.00000221748,4096.0
45675.895688,68441.00000307662,152.0
45675.754294,209889.99999826774,64.0
45675.75517,209016.00000070175,4096.0
45675.895688,68500.00000122236,152.0
45675.754294,210186.00000388687,64.0
45675.75517,209313.00000665942,4096.0
45675.895688,68798.00000024261,152.0
45675.754294,210378.00000340212,64.0
45675.75517,209507.00000685174,4096.0
45675.895688,68994.000001112,152.0
45675.754294,210481.00000189152,64.0
45675.75517,209607.00000432553,4096.0
45675.895688,69091.00000484614,152.0
45675.754294,210626.0000000475,64.0
45675.75517,209752.0000024815,4096.0
45675.895688,69238.00000367919,152.0
45675.754294,210672.00000106823,64.0
45675.75517,209798.00000350224,4096.0
45675.895688,69282.00000402285,152.0
45675.754294,210706.99999836506,64.0
45675.75517,209833.00000079907,4096.0
45675.895688,69318.00000165822,152.0
45675.75517,210562.00000020908,4096.0
45675.75517,210634.00000275578,4096.0
45675.966796,90.00000136438757,112.0
45675.947551,26510.00000332715,11.0
45675.947551,28311.000001849607,11.0
45675.947551,30243.0000010645,11.0
45675.947551,30521.000000589993,11.0
45675.947551,31097.99999947427,11.0
45675.947551,32206.000003498048,11.0
45675.947551,32391.000000643544,11.0
45675.947551,34244.000002217945,11.0
45675.947551,34432.00000037905,11.0
45675.947551,35137.99999927869,11.0
45675.947551,45329.00000049267,11.0
45675.947551,45636.00000255974,11.0
45675.947551,47299.000005295966,11.0
45675.947551,47496.99999956647,11.0
45675.947551,56295.000002137385,11.0
45675.947551,56524.999999965075,11.0
45676.00896,16.999998479150236,2048.0
45675.75517,254783.00000395393,4096.0
45676.00896,1903.0000039492734,2048.0
45676.00896,2744.9999979580753,2048.0
45675.754048,258292.99999895738,840.0
45675.75432,258044.00000197347,504.0
45675.75517,257489.00000326103,4096.0
45675.75517,257776.00000583334,4096.0
45675.75517,258484.00000541005,4096.0
45676.00896,5065.999997896142,2048.0
45675.75517,259359.00000331458,4096.0
45675.75517,259943.0000045686,4096.0
45676.00896,6597.99999993993,2048.0
45675.754048,261888.0000009085,840.0
45675.754048,261979.999995674,840.0
45675.754048,262893.99999950547,840.0
45675.754048,262973.9999974845,840.0
45675.754048,263011.99999579694,840.0
45675.754048,263034.9999963073,840.0
45675.754048,263060.9999978333,840.0
45675.754048,263079.9999969895,840.0
45675.754048,263113.0000008852,840.0
45675.754048,263133.00000038,840.0
45675.754048,263156.9999939529,840.0
45675.754048,263296.9999976922,840.0
45675.75517,263495.0000065146,4096.0
45676.00896,10458.000004291534,2048.0
